WEC: ava. Rotation,WEC: max. Rotation,WEC: min. Rotation,WEC: ava. Power,WEC: max. Power,WEC: min. Power,WEC: ava. Nacel position including cable twisting,WEC: ava. reactive Power,WEC: max. reactive Power,WEC: min. reactive Power,WEC: ava. blade angle A,Sys 1 inverter 1 cabinet temp.,Sys 1 inverter 2 cabinet temp.,Sys 1 inverter 3 cabinet temp.,Sys 1 inverter 4 cabinet temp.,Sys 1 inverter 5 cabinet temp.,Sys 1 inverter 6 cabinet temp.,Sys 1 inverter 7 cabinet temp.,Sys 2 inverter 1 cabinet temp.,Sys 2 inverter 2 cabinet temp.,Sys 2 inverter 3 cabinet temp.,Sys 2 inverter 4 cabinet temp.,Sys 2 inverter 5 cabinet temp.,Sys 2 inverter 6 cabinet temp.,Sys 2 inverter 7 cabinet temp.,Spinner temp.,Front bearing temp.,Rear bearing temp.,Pitch cabinet blade A temp.,Pitch cabinet blade B temp.,Pitch cabinet blade C temp.,Blade A temp.,Blade B temp.,Blade C temp.,Rotor temp. 1,Rotor temp. 2,Stator temp. 1,Stator temp. 2,Nacelle ambient temp. 1,Nacelle ambient temp. 2,Nacelle temp.,Nacelle cabinet temp.,Main carrier temp.,Rectifier cabinet temp.,Yaw inverter cabinet temp.,Fan inverter cabinet temp.,Ambient temp.,Tower temp.,Control cabinet temp.,Transformer temp.,RTU: ava. Setpoint 1,Inverter averages,Inverter std dev,Predicted_Fault
10.21000004,11.60000038,9.199999809,824.0,1212.0,591.0,363.0,8.0,21.0,0.0,1.0,28.0,28.0,28.0,27.0,29.0,27.0,27.0,28.0,28.0,25.0,27.0,-14.0,0.0,-50.0,16.0,21.0,27.0,31.0,31.0,30.0,166.0,166.0,166.0,48.0,48.0,65.0,65.0,13.0,13.0,16.0,20.0,17.0,29.0,25.0,31.0,14.0,26.0,34.0,44.0,2501.0,27.45454597,1.035725474,NF
8.770000458,10.26000023,7.460000038,506.0,896.0,233.0,-179.0,47.0,57.0,37.0,1.0,29.0,31.0,29.0,30.0,31.0,31.0,30.0,33.0,32.0,34.0,34.0,-14.0,0.0,-50.0,30.0,30.0,32.0,47.0,47.0,47.0,165.0,165.0,165.0,52.0,53.0,59.0,58.0,20.0,20.0,24.0,27.0,22.0,37.0,31.0,37.0,21.0,27.0,35.0,41.0,3050.0,31.27272797,1.793929219,NF
11.21000004,12.28999996,10.19999981,1078.0,1439.0,785.0,264.0,6.0,8.0,5.0,1.0,34.0,35.0,33.0,34.0,35.0,33.0,32.0,34.0,33.0,31.0,32.0,-14.0,0.0,-50.0,22.0,28.0,33.0,37.0,37.0,36.0,166.0,165.0,166.0,51.0,51.0,66.0,66.0,17.0,17.0,22.0,25.0,24.0,33.0,28.0,33.0,20.0,33.0,40.0,49.0,3050.0,33.27272797,1.272077799,NF
11.69999981,13.57999992,10.35000038,1529.0,2553.0,948.0,-450.0,94.0,155.0,75.0,1.0,34.0,35.0,34.0,34.0,35.0,31.0,33.0,34.0,33.0,31.0,30.0,-14.0,0.0,-50.0,21.0,26.0,31.0,35.0,35.0,35.0,166.0,165.0,166.0,70.0,70.0,97.0,96.0,17.0,17.0,20.0,23.0,23.0,30.0,31.0,34.0,18.0,33.0,41.0,57.0,3050.0,33.09090805,1.700267434,NF
7.659999847,8.100000381,7.409999847,294.0,373.0,252.0,-473.0,56.0,57.0,55.0,1.0,26.0,26.0,25.0,26.0,26.0,25.0,25.0,29.0,32.0,31.0,31.0,-14.0,0.0,-50.0,16.0,20.0,26.0,32.0,32.0,31.0,166.0,165.0,166.0,45.0,45.0,59.0,59.0,12.0,12.0,16.0,19.0,15.0,33.0,24.0,30.0,13.0,23.0,33.0,41.0,3050.0,27.45454597,2.733628988,NF
12.64999962,13.77000046,11.19999981,1999.0,2740.0,1338.0,-1.0,176.0,234.0,130.0,1.0,27.0,26.0,26.0,25.0,26.0,24.0,25.0,24.0,25.0,22.0,23.0,-14.0,0.0,-50.0,11.0,18.0,25.0,26.0,27.0,26.0,166.0,166.0,167.0,58.0,58.0,78.0,77.0,7.0,7.0,10.0,13.0,13.0,22.0,16.0,19.0,8.0,23.0,32.0,47.0,3050.0,24.81818199,1.470930576,NF
5.21999979,5.53000021,5.03000021,10.0,19.0,4.0,-434.0,42.0,43.0,40.0,1.0,27.0,32.0,29.0,29.0,31.0,30.0,30.0,31.0,31.0,30.0,27.0,-14.0,0.0,-50.0,19.0,23.0,28.0,35.0,35.0,34.0,166.0,165.0,166.0,37.0,37.0,36.0,36.0,12.0,12.0,16.0,20.0,14.0,33.0,23.0,26.0,13.0,17.0,27.0,39.0,3050.0,29.72727203,1.618079662,NF
8.93999958,10.77000046,7.829999924,532.0,943.0,313.0,321.0,18.0,24.0,5.0,1.0,31.0,33.0,31.0,32.0,32.0,32.0,31.0,32.0,31.0,31.0,34.0,-14.0,0.0,-50.0,24.0,27.0,32.0,39.0,40.0,39.0,166.0,165.0,166.0,52.0,51.0,64.0,63.0,20.0,20.0,25.0,28.0,23.0,37.0,32.0,39.0,22.0,30.0,37.0,43.0,3050.0,31.81818199,0.981649756,NF
6.260000229,6.610000134,5.900000095,79.0,125.0,32.0,425.0,44.0,46.0,36.0,1.0,25.0,26.0,26.0,32.0,32.0,33.0,32.0,33.0,33.0,34.0,32.0,-14.0,0.0,-50.0,19.0,24.0,29.0,34.0,35.0,33.0,166.0,166.0,166.0,44.0,44.0,51.0,50.0,10.0,10.0,16.0,21.0,16.0,35.0,24.0,29.0,11.0,21.0,35.0,43.0,3050.0,30.72727203,3.319364309,NF
4.21999979,4.639999866,3.75,0.0,0.0,0.0,-352.0,0.0,0.0,0.0,1.0,36.0,38.0,36.0,36.0,38.0,36.0,36.0,38.0,38.0,37.0,34.0,-14.0,0.0,-50.0,29.0,32.0,35.0,45.0,45.0,43.0,165.0,165.0,165.0,41.0,42.0,39.0,39.0,20.0,20.0,25.0,30.0,25.0,38.0,32.0,37.0,20.0,24.0,34.0,46.0,3050.0,36.63636398,1.286291361,NF
